id,name,lon,lat,type
113,5 AVE-7BDFM,-73.981963,40.753821,NYCT
114,50 ST-1,-73.983849,40.761728,NYCT
115,50 ST-CE,-73.985984,40.762456,NYCT
116,50 ST-D,-73.99465878,40.63626089,NYCT
117,51 ST-6,-73.97192,40.757107,NYCT
118,52 ST-7,-73.912549,40.744149,NYCT
119,53 ST-R,-74.014034,40.64506867,NYCT
120,55 ST-D,-73.99534883,40.63147876,NYCT
121,57 ST-7 AV-NQRW,-73.98072973,40.76456553,NYCT
122,57 ST-F,-73.977368,40.764085,NYCT
123,59 ST COLUMBUS-1ABCD,-73.981929,40.768247,NYCT
124,59 ST COLUMBUS-ABCD1,-73.98164872,40.76824953,NYCT
125,59 ST-456NQRW,-73.967967,40.762526,NYCT
126,59 ST-NQR456W,-73.96737502,40.76270886,NYCT
127,59 ST-NRW,-74.017881,40.64136167,NYCT
128,6 AV-FLM123,-73.99775079,40.73774147,NYCT
129,61 ST WOODSIDE-7,-73.902984,40.74563,NYCT
130,63 DR-REGO PARK-MR,-73.8616182,40.72976397,NYCT
131,65 ST-MR,-73.89878838,40.74971953,NYCT
132,66 ST-LINCOLN-1,-73.982209,40.77344,NYCT
133,67 AV-MR,-73.85286048,40.72650548,NYCT
134,68ST-HUNTER CO-6,-73.96387,40.768141,NYCT
135,69 ST-7,-73.896403,40.746325,NYCT
136,7 AV-BDE,-73.98169782,40.76297015,NYCT
137,7 AV-BQ,-73.97285279,40.67710218,NYCT
138,7 AV-FG,-73.98025118,40.66624469,NYCT
139,71 ST-D,-73.99884095,40.61925871,NYCT
140,72 ST-123,-73.98197,40.778453,NYCT
141,72 ST-2 AVE-Q,-73.95836179,40.76880251,NYCT
142,72 ST-BC,-73.97633658,40.7755194,NYCT
143,74 ST-BROADWAY-7EFMR,-73.89120513,40.74686757,NYCT
144,75 AV-EF,-73.83692369,40.71804465,NYCT
145,75 ST-ELDERTS-JZ,-73.867288,40.69129,NYCT
146,77 ST-6,-73.959874,40.77362,NYCT
147,77 ST-R,-74.02551,40.62974167,NYCT
148,79 ST-1,-73.979917,40.783934,NYCT
149,79 ST-D,-74.00058287,40.61315893,NYCT
150,8 AV-ACEL,-74.002578,40.73977667,NYCT
151,8 AV-N,-74.011516,40.634971,NYCT
152,8 ST-NYU-NRW,-73.992508,40.730465,NYCT
153,80 ST-A,-73.858992,40.679371,NYCT
154,81 ST-MUSEUM-BC,-73.97209795,40.78134608,NYCT
155,82 ST-JACKSON H-7,-73.883697,40.747659,NYCT
156,85 ST-FOREST PK-J,-73.860087,40.692427,NYCT
157,86 ST-1,-73.976218,40.788644,NYCT
158,86 ST-2 AVE-Q,-73.95177091,40.77786104,NYCT
159,86 ST-456,-73.955589,40.779492,NYCT
160,86 ST-BC,-73.96882849,40.78582305,NYCT
161,86 ST-N,-73.978189,40.592465,NYCT
162,86 ST-R,-74.028398,40.62268667,NYCT
163,88 ST-A,-73.85147,40.679843,NYCT
164,9 AV-D,-73.99444874,40.64648408,NYCT
165,90 ST-ELMHURST-7,-73.876613,40.748408,NYCT
166,96 ST-123,-73.972323,40.793919,NYCT
167,96 ST-2 AVE-Q,-73.94706602,40.78423665,NYCT
168,96 ST-6,-73.95107,40.785672,NYCT
169,96 ST-BC,-73.96460246,40.7916188,NYCT
170,9TH STREET-1,-73.998944,40.73421,PATH
171,ALABAMA AV-J,-73.898526,40.676998,NYCT
172,ALLERTON AV-25,-73.86723423,40.86548338,NYCT
173,AQUEDUCT N.COND-A,-73.834058,40.668234,NYCT
174,AQUEDUCT RACETR-A,-73.835919,40.672097,NYCT
175,ASTOR PL-6,-73.99107,40.730054,NYCT
176,ASTORIA BLVD-NQW,-73.918095,40.770037,NYCT
177,ASTORIA DITMARS-NQW,-73.912034,40.77503567,NYCT
178,ATL AV-BARCLAY-2345BDNQR,-73.97754994,40.68442017,NYCT
179,ATL AV-BARCLAY-BDNQR2345,-73.97678344,40.68448832,NYCT
180,ATLANTIC AV-L,-73.903097,40.67534467,NYCT
181,AVENUE H-BQ,-73.96151794,40.62920838,NYCT
182,AVENUE I-F,-73.97606933,40.62501744,NYCT
183,AVENUE J-BQ,-73.96069316,40.62502282,NYCT
184,AVENUE M-BQ,-73.95924311,40.61739774,NYCT
185,AVENUE N-F,-73.97404851,40.61435671,NYCT
186,AVENUE P-F,-73.97300282,40.60884281,NYCT
187,AVENUE U-BQ,-73.95581122,40.59930895,NYCT
188,AVENUE U-F,-73.97337642,40.59592483,NYCT
189,AVENUE U-N,-73.979084,40.597236,NYCT
190,AVENUE X-F,-73.974266,40.58944967,NYCT
191,B'WAY-LAFAYETTE-BDFQ6,-73.996204,40.725297,NYCT
